2025-02-25 12:15:31,824 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:29:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,824 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:30:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,825 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:31:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,825 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:32:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,825 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:33:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,826 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:34:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,826 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:35:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,827 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:36:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,827 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:37:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,827 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:38:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,827 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:39:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,828 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:40:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,828 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:41:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,828 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:42:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,829 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:43:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,829 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:44:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,829 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:45:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,829 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:46:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,830 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:47:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,830 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:48:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,830 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:49:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,830 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:50:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,831 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:51:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,831 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:52:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,831 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:53:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,831 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:54:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,832 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:55:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,832 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:56:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,832 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:59:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,832 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 12:00:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,833 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 12:01:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,833 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 12:02:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,833 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 12:03:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,834 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 12:04:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,834 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 12:05:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,834 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 12:06:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,834 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 12:07:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,835 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 12:08:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,835 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 12:09:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,835 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 12:10:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,835 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 12:11:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,836 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 12:12:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,836 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 12:13:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,836 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 12:14:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,836 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 12:15:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,837 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 12:16:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,837 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 12:17:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,837 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 12:18:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,838 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 12:20:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,838 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 12:21:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,838 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 12:22:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,838 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 12:23:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,839 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 12:24:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,839 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 12:25:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,840 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 12:26:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,840 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 12:27:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,841 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 12:28:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,841 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 12:29:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,841 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 12:30:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,842 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 12:31:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,842 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 12:32:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,843 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 12:33:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,843 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 12:34:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,844 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 12:36:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,844 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 12:37:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,844 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 12:38:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,844 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 12:39:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,845 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 12:40:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,845 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 12:41:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,845 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 12:42:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,845 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 12:43:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,846 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 12:44:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,846 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 12:45:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,846 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 12:46:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,847 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 12:47:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,847 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 12:48:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,847 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 12:49:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,847 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 12:50:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,848 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 12:51:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,848 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 12:52:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,848 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 12:53:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,848 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 12:54:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,849 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 12:55:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,849 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 12:56:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,849 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 12:57:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
